file,event,lab_a,lab_b,gap,angle,offset,e_a,e_b,len_a,len_b,reason
flow0000001,8,34,39,27.9363575444601,7.765682753246885,0.597990673793941,37.96025848388672,96.11038461327553,29.801161780764073,37.92646512954143,anchors 28.7cm > eps5
flow0000001,8,34,41,70.34913341237392,2.649132065180604,4.54869682794743,37.96025848388672,722.7367115095258,29.801161780764073,83.7135009901805,anchors 70.7cm > eps5
flow0000001,8,49,56,64.8243853325468,2.939888818304798,5.178422319401459,302.39868176728487,397.6891970708966,201.0378645298521,246.60972680258294,anchors 65.3cm > eps5
flow0000001,8,47,74,46.21851823547098,3.715157473698666,4.1550295083337545,244.01019046455622,59.74480044096708,184.7457802213417,41.903343092562935,anchors 46.6cm > eps5
flow0000001,8,96,109,18.630143186346523,10.320654280867448,5.292417190221131,759.5946383997798,64.32915159314871,497.6528392736044,29.96112264349449,anchors 20.6cm > eps5
flow0000001,8,35,73,44.29118324460803,0.8967298878220541,3.4600589333089213,548.1817224472761,159.03561714291573,340.6900982615091,102.25542896019778,anchors 44.9cm > eps5
flow0000001,8,62,88,51.50395518662804,0.9297262501850632,1.0798206150444893,440.2193174287677,263.04692433029413,287.74115592295664,170.34400385493385,anchors 52.3cm > eps5
flow0000001,8,117,119,4.606276187874593,8.235716182636395,4.567257896709196,332.0156801342964,125.09747295081615,199.40145197773393,28.399318804494317,doca 3.29 >= 0.75 (bnd)
flow0000001,9,9,11,39.19868115735557,2.558148763611305,1.8909476754928898,778.3173736780882,62.553911454975605,499.79417430745195,37.019863385215956,anchors 39.3cm > eps5
flow0000001,9,71,79,41.64191728100408,11.814983180647143,1.6070854664565644,56.81993003189564,84.79130079597235,21.14330032511326,46.40876912982528,anchors 41.6cm > eps5
flow0000001,9,14,27,43.01546488905617,3.8683938958308968,2.816722586368722,313.6991356909275,369.6375769227743,197.116348494904,263.7631566146142,anchors 43.5cm > eps5
flow0000001,9,25,47,56.21859546751627,5.204861773286099,6.217640373392344,482.9206037595868,144.72415032982826,233.75461974134024,99.45904458799231,anchors 56.4cm > eps5
flow0000001,9,44,50,43.053681601211345,9.039168317926736,3.7289259296839337,113.96580135077238,327.1055472046137,74.81586176116804,215.67572095980867,anchors 43.5cm > eps5
flow0000001,9,42,49,46.63509024836228,0.47474133116243633,1.4368578707254007,480.07089214771986,296.9194652363658,276.0522605926409,180.27666226145402,anchors 47.4cm > eps5
flow0000001,9,51,59,4.671756804508423,6.624918871502091,4.670581417299008,450.7440118268132,44.70327068120241,296.1624428111081,24.625703574267867,doca 3.56 >= 0.75 (bnd)
flow0000001,9,51,61,51.89738599076079,1.1379525182201764,1.7639483844207506,450.7440118268132,209.82237739115953,296.1624428111081,149.24875236457626,anchors 52.5cm > eps5
flow0000001,9,137,143,4.891752473829098,12.34846989409608,4.8699173396041315,313.88877433538437,197.3135343492031,143.29140079268356,71.06471871728394,doca 4.28 >= 0.75 (bnd)
flow0000002,0,6,7,2.766905465545259,0.33058218477385215,2.6079570760440554,185.5552967786789,356.7809741869569,43.39648983615064,51.22800255443804,doca 1.04 >= 0.75 (bnd)
flow0000002,0,54,59,33.960613628659885,1.7557932206391946,2.0938020495162823,938.213287115097,679.6418092995882,131.214172252393,84.55918595407223,anchors 30.6cm > eps5
flow0000002,0,10,16,41.31464714578598,5.636592084373095,2.533321196997345,410.73336466401815,270.8935505822301,287.7666903532953,172.72015730765847,anchors 41.8cm > eps5
flow0000002,0,40,45,31.771492322116487,4.012110484685482,1.915553341423892,693.5462956875563,156.70992356538773,509.31896957767935,57.95953357558771,anchors 31.8cm > eps5
flow0000002,0,104,106,10.96921245193171,8.775961881985584,4.164139168799681,170.6717227473855,416.1503147855401,48.157789198308194,69.7131970662654,anchors 9.9cm > eps5
flow0000002,0,58,90,49.52426725085329,0.5982499103284772,1.8388313384572093,446.9737927019596,156.72648345679045,254.21131231118244,96.05963531157606,anchors 50.3cm > eps5
flow0000002,0,86,100,7.4080673185860695,12.408660202127367,1.9121802385472706,152.94528110325336,78.73886124789715,110.18341094661278,39.9659785300218,anchors 7.6cm > eps5
flow0000002,0,107,108,48.983651879221405,6.457506421287023,1.7886156761846295,651.6811021417379,180.0558598563075,186.47053902401865,49.20609411731119,anchors 49.2cm > eps5
flow0000002,0,107,114,33.73734125974967,8.841232961554669,4.481728415573087,651.6811021417379,437.7487206682563,186.47053902401865,173.2597609420087,anchors 36.1cm > eps5
flow0000002,0,108,111,7.2260372162048006,2.1409839013355545,4.249604323653248,180.0558598563075,167.36773066967726,49.20609411731119,97.29134122736018,anchors 7.5cm > eps5
flow0000002,0,108,114,55.319256651049265,9.37459220448166,7.881899337626378,180.0558598563075,437.7487206682563,49.20609411731119,173.2597609420087,anchors 55.4cm > eps5
flow0000002,0,111,114,48.5103256330302,8.181903360766066,4.9307143647445235,167.36773066967726,437.7487206682563,97.29134122736018,173.2597609420087,anchors 49.3cm > eps5
