file,event,label,e_mev,length,linearity,purity,foreign,hint,dom_t0,top_foreign
flow0000002,10,1188,834.6967079564929,103.79485469205143,0.7696248019470515,0.8390207161989827,134.36887823790312,mixed/absorbed,348.35356603024286,g9:134MeV(t0 128)
flow0000002,11,0,1301.0268157944083,495.0878537290017,0.9987601952711529,0.5959702199864882,525.6535781770945,mixed/absorbed,382.85887075012187,g13:526MeV(t0 148)
flow0000002,11,68,281.2875156849623,189.131180193146,0.9879584463686697,0.5618409523462687,123.24866998940706,bad-stitch?(tpc36),398.6044066907831,g31:123MeV(t0 334)
flow0000002,11,96,123.6650510802865,48.03650644476291,0.9869841555011153,0.8072647831248382,23.83461043983698,mixed/absorbed,334.185681398674,g34:24MeV(t0 404)
flow0000002,11,415,48.21696770936251,15.746441699334994,0.8553655843358525,0.5278651045657392,22.764913007616997,mixed/absorbed,146.78179415189302,g31:23MeV(t0 334)
flow0000002,11,1011,828.2132355496287,64.62801598630183,0.7228548343532623,0.7656020177226207,194.1315113082528,mixed/absorbed,334.095966946827,g34:194MeV(t0 404)
flow0000002,11,1022,55.72332266718149,17.369066330484024,0.8133796398833755,0.5691397247818957,24.008966140449047,mixed/absorbed,237.10665317111545,g25:24MeV(t0 263)
flow0000002,11,1392,96.00115168094635,23.39678367672982,0.7956994049750106,0.7431308642498161,24.659732863307,mixed/absorbed,28.83047249679166,g18:25MeV(t0 198)
flow0000002,11,1711,49.22392911463976,13.562646752943351,0.6451958366291017,0.5641004086217509,21.456690587103367,mixed/absorbed,972.9103680234966,g35:21MeV(t0 436)
flow0000002,12,2,853.416268967092,294.87407240152106,0.9877062551095045,0.9380923383980935,52.8330055847764,mixed/absorbed,197.8403463470492,g39:53MeV(t0 409)
flow0000002,12,32,141.08052060753107,81.29470965489588,0.9899684317343831,0.7785581653522629,31.24112931638956,mixed/absorbed,360.34612614206605,g47:31MeV(t0 527)
flow0000002,12,52,421.6844678670168,247.036102594822,0.9985848917209398,0.7087304487393029,122.82384572923183,bad-stitch?(tpc25),109.39448569944999,g45:123MeV(t0 483)
flow0000002,12,101,812.1117223724723,246.12426767363883,0.9990532369512174,0.7646823055892794,191.1042581126094,bad-stitch?(tpc45),590.4677130435535,g16:191MeV(t0 200)
flow0000002,12,160,260.1182276159525,44.37144989816727,0.9064161538464318,0.5640453854525507,113.39974165707827,mixed/absorbed,172.7526097926296,g36:113MeV(t0 375)
flow0000002,12,476,204.62944971770048,30.098183602064175,0.8310556098777756,0.7670492465935691,47.66858448088169,mixed/absorbed,175.28548852169152,g44:48MeV(t0 467)
flow0000002,12,480,379.1782313361764,63.9797165562164,0.7453241165287291,0.9131721782696123,32.92321987450123,mixed/absorbed,175.16417679730583,g21:23MeV(t0 242)
flow0000002,12,951,1447.422681607306,85.2853599270469,0.8198073210995809,0.9845386544961309,22.379102170467377,mixed/absorbed,481.9046729866061,g66:19MeV(t0 785)
flow0000002,12,1268,948.4572622254491,50.57866502050489,0.5035727322204799,0.8316912272898676,159.63367777317762,mixed/absorbed,590.4253274836622,g16:155MeV(t0 200)
flow0000002,12,1383,1406.8695598319173,98.27841268196121,0.8550028912199122,0.9231692067504416,108.09090428054333,mixed/absorbed,590.5416439222253,g16:108MeV(t0 200)
flow0000002,12,1894,311.1371434852481,78.95700831449669,0.9120897814093591,0.9073902721506024,28.81432618200779,mixed/absorbed,212.50914949864105,g18:28MeV(t0 221)
